country,date_td,new_cases,new_deaths,first_dose,second_dose,apprvl_vaccine,days_apprvl
United Kingdom,15aug2020,1042,3,,,,
United Kingdom,16aug2020,1111,5,,,,
United Kingdom,17aug2020,721,3,,,,
United Kingdom,18aug2020,1113,12,,,,
United Kingdom,19aug2020,831,17,,,,
United Kingdom,20aug2020,1195,6,,,,
United Kingdom,21aug2020,1060,2,,,,
United Kingdom,22aug2020,1332,18,,,,
United Kingdom,23aug2020,1048,6,,,,
United Kingdom,24aug2020,977,4,,,,
United Kingdom,25aug2020,1201,16,,,,
United Kingdom,26aug2020,1146,17,,,,
United Kingdom,27aug2020,1542,12,,,,
United Kingdom,28aug2020,1297,9,,,,
United Kingdom,29aug2020,1110,12,,,,
United Kingdom,30aug2020,1752,1,,,,
United Kingdom,31aug2020,1415,3,,,,
United Kingdom,01sep2020,1332,3,,,,
United Kingdom,02sep2020,1514,10,,,,
United Kingdom,03sep2020,1779,14,,,,
United Kingdom,04sep2020,1978,10,,,,
United Kingdom,05sep2020,1827,12,,,,
United Kingdom,06sep2020,2987,2,,,,
United Kingdom,07sep2020,2951,3,,,,
United Kingdom,08sep2020,2481,32,,,,
United Kingdom,09sep2020,2681,8,,,,
United Kingdom,10sep2020,2931,14,,,,
United Kingdom,11sep2020,3544,6,,,,
United Kingdom,12sep2020,3504,9,,,,
United Kingdom,13sep2020,3338,5,,,,
United Kingdom,14sep2020,2625,9,,,,
United Kingdom,15sep2020,3115,27,,,,
United Kingdom,16sep2020,4007,20,,,,
United Kingdom,17sep2020,3410,21,,,,
United Kingdom,18sep2020,4329,27,,,,
United Kingdom,19sep2020,4429,27,,,,
United Kingdom,20sep2020,3899,18,,,,
United Kingdom,21sep2020,4378,11,,,,
United Kingdom,22sep2020,4936,37,,,,
United Kingdom,23sep2020,6187,37,,,,
United Kingdom,24sep2020,6644,40,,,,
United Kingdom,25sep2020,6878,34,,,,
United Kingdom,26sep2020,6050,35,,,,
United Kingdom,27sep2020,5700,17,,,,
United Kingdom,28sep2020,4056,13,,,,
United Kingdom,29sep2020,7156,72,,,,
United Kingdom,30sep2020,7117,71,,,,
United Kingdom,01oct2020,6929,59,,,,
United Kingdom,02oct2020,6994,66,,,,
United Kingdom,03oct2020,12885,49,,,,
United Kingdom,04oct2020,22965,33,,,,
United Kingdom,05oct2020,12603,19,,,,
United Kingdom,06oct2020,14557,76,,,,
United Kingdom,07oct2020,14173,70,,,,
United Kingdom,08oct2020,17550,77,,,,
United Kingdom,09oct2020,13888,87,,,,
United Kingdom,10oct2020,15175,81,,,,
United Kingdom,11oct2020,12882,65,,,,
United Kingdom,12oct2020,14011,50,,,,
United Kingdom,13oct2020,17250,143,,,,
United Kingdom,14oct2020,19751,137,,,,
United Kingdom,15oct2020,18996,138,,,,
United Kingdom,16oct2020,15657,136,,,,
United Kingdom,17oct2020,16186,150,,,,
United Kingdom,18oct2020,16994,67,,,,
United Kingdom,19oct2020,18830,80,,,,
United Kingdom,20oct2020,21365,241,,,,
United Kingdom,21oct2020,26707,191,,,,
United Kingdom,22oct2020,21257,189,,,,
United Kingdom,23oct2020,20559,224,,,,
United Kingdom,24oct2020,23033,174,,,,
United Kingdom,25oct2020,19797,151,,,,
United Kingdom,26oct2020,20900,102,,,,
United Kingdom,27oct2020,22924,367,,,,
United Kingdom,28oct2020,24714,310,,,,
United Kingdom,29oct2020,23078,280,,,,
United Kingdom,30oct2020,24418,274,,,,
United Kingdom,31oct2020,21919,326,,,,
United Kingdom,01nov2020,23261,162,,,,
United Kingdom,02nov2020,18967,136,,,,
United Kingdom,03nov2020,20078,397,,,,
United Kingdom,04nov2020,25206,492,,,,
United Kingdom,05nov2020,24164,378,,,,
United Kingdom,06nov2020,23322,355,,,,
United Kingdom,07nov2020,24979,413,,,,
United Kingdom,08nov2020,20580,156,,,,
United Kingdom,09nov2020,21397,195,,,,
United Kingdom,10nov2020,20451,532,,,,
United Kingdom,11nov2020,23000,596,,,,
United Kingdom,12nov2020,33517,563,,,,
United Kingdom,13nov2020,27316,376,,,,
United Kingdom,14nov2020,26876,462,,,,
United Kingdom,15nov2020,24977,168,,,,
United Kingdom,16nov2020,21415,214,,,,
United Kingdom,17nov2020,20060,599,,,,
